country,indicator,percent,year
Nigeria,GDP growth (annual %),-1.115623218,1984
Nigeria,GDP growth (annual %),-10.92408504,1983
Nigeria,GDP growth (annual %),-6.803388815,1982
Nigeria,GDP growth (annual %),-13.12788049,1981
Nigeria,GDP growth (annual %),4.204831047,1980
Ghana,GDP growth (annual %),6.263480772,2018
Ghana,GDP growth (annual %),8.143446497,2017
Ghana,GDP growth (annual %),3.447792974,2016
Ghana,GDP growth (annual %),2.1782068,2015
Ghana,GDP growth (annual %),2.89743883,2014
Ghana,GDP growth (annual %),7.312525007,2013
Ghana,GDP growth (annual %),9.292789405,2012
Ghana,GDP growth (annual %),14.04712363,2011
Ghana,GDP growth (annual %),7.899711889,2010
Ghana,GDP growth (annual %),4.844486998,2009
Ghana,GDP growth (annual %),9.149798975,2008
Ghana,GDP growth (annual %),4.346819164,2007
Ghana,GDP growth (annual %),6.399912502,2006
Ghana,GDP growth (annual %),5.900003916,2005
Ghana,GDP growth (annual %),5.599999989,2004
Ghana,GDP growth (annual %),5.200000074,2003
Ghana,GDP growth (annual %),4.499999578,2002
Ghana,GDP growth (annual %),4.000000099,2001
Ghana,GDP growth (annual %),3.70000004,2000
Ghana,GDP growth (annual %),4.399996886,1999
Ghana,GDP growth (annual %),4.700390844,1998
Ghana,GDP growth (annual %),4.196357458,1997
Ghana,GDP growth (annual %),4.60246109,1996
Ghana,GDP growth (annual %),4.112418929,1995
Ghana,GDP growth (annual %),3.299999809,1994
Ghana,GDP growth (annual %),4.850000569,1993
Ghana,GDP growth (annual %),3.879419072,1992
Ghana,GDP growth (annual %),5.281826358,1991
Ghana,GDP growth (annual %),3.328817883,1990
Ghana,GDP growth (annual %),5.0858727,1989
Ghana,GDP growth (annual %),5.628168765,1988
Ghana,GDP growth (annual %),4.794898878,1987
Ghana,GDP growth (annual %),5.199160679,1986
Ghana,GDP growth (annual %),5.091617273,1985
Ghana,GDP growth (annual %),8.647569458,1984
Ghana,GDP growth (annual %),-4.563737506,1983
Ghana,GDP growth (annual %),-6.92365041,1982
Ghana,GDP growth (annual %),-3.503066947,1981
Ghana,GDP growth (annual %),0.471695943,1980
Ethiopia,GDP growth (annual %),6.810169391,2018
Ethiopia,GDP growth (annual %),9.503858571,2017
Ethiopia,GDP growth (annual %),9.433482658,2016
Ethiopia,GDP growth (annual %),10.39246302,2015
Ethiopia,GDP growth (annual %),10.25749296,2014
